JAN,商品番号,SYS,分類コード,メーカー,商品名,商品説明,定価,定価（税込）,ブランドコード,仕入先コード,仕切
8020838363889,YAKX0I03,25973239,3212,KYT ケイワイティ,KX-1 RACE GP CROWN PADS,■内装センターパッド<br />,13000,14300,2184,B23,8450
8020838363896,YAKX0I04,25973240,3212,KYT ケイワイティ,KX-1 RACE GP CROWN PADS,■内装センターパッド<br />,13000,14300,2184,B23,8450
8020838363902,YAKX0I05,25973241,3212,KYT ケイワイティ,KX-1 RACE GP CROWN PADS,■内装センターパッド<br />,13000,14300,2184,B23,8450
8020838363919,YAKX0I06,25973242,3212,KYT ケイワイティ,KX-1 RACE GP CROWN PADS,■内装センターパッド<br />,13000,14300,2184,B23,8450
8051811404534,YANZ0I03,25973243,3212,KYT ケイワイティ,NZ RACE CROWN PADS,■内装センターパッド<br />カラー：GREY／RED<br />,9000,9900,2184,B23,5850
8051811404541,YANZ0I04,25973244,3212,KYT ケイワイティ,NZ RACE CROWN PADS,■内装センターパッド<br />カラー：GREY／RED<br />,9000,9900,2184,B23,5850
8051811404558,YANZ0I05,25973245,3212,KYT ケイワイティ,NZ RACE CROWN PADS,■内装センターパッド<br />カラー：GREY／RED<br />,9000,9900,2184,B23,5850
8051811404565,YANZ0I06,25973246,3212,KYT ケイワイティ,NZ RACE CROWN PADS,■内装センターパッド<br />カラー：GREY／RED<br />,9000,9900,2184,B23,5850
8020838336203,YASK0I03,25973247,3212,KYT ケイワイティ,SKYHAWK CROWN PADS,■内装センターパッド<br />,6000,6600,2184,B23,3900
8020838336210,YASK0I04,25973248,3212,KYT ケイワイティ,SKYHAWK CROWN PADS,■内装センターパッド<br />,6000,6600,2184,B23,3900
8020838336227,YASK0I05,25973249,3212,KYT ケイワイティ,SKYHAWK CROWN PADS,■内装センターパッド<br />,6000,6600,2184,B23,3900
8020838336234,YASK0I06,25973250,3212,KYT ケイワイティ,SKYHAWK CROWN PADS,■内装センターパッド<br />,6000,6600,2184,B23,3900
8990800028613,Y6KX0001.4,25973251,3002,KYT ケイワイティ,KX-1 RACE GP CARBON GLOSSY ／E06-FIM［カーボングロス］ヘルメット,【カラー】<br />カーボングロス<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,120000,132000,2184,B23,78000
8990800028620,Y6KX0001.5,25973252,3002,KYT ケイワイティ,KX-1 RACE GP CARBON GLOSSY ／E06-FIM［カーボングロス］ヘルメット,【カラー】<br />カーボングロス<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,120000,132000,2184,B23,78000
8020838369218,Y6KX0002.4,25973253,3002,KYT ケイワイティ,KX-1 RACE GP BASTIANINI REP.2023 ／E06-FIM［バスティアニーニ レプリカ］ヘルメット,【カラー】<br />バスティアニーニ レプリカ<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,120000,132000,2184,B23,78000
8020838369225,Y6KX0002.5,25973254,3002,KYT ケイワイティ,KX-1 RACE GP BASTIANINI REP.2023 ／E06-FIM［バスティアニーニ レプリカ］ヘルメット,【カラー】<br />バスティアニーニ レプリカ<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,120000,132000,2184,B23,78000
8990800028552,Y6KX00W6.4,25973255,3002,KYT ケイワイティ,KX-1 RACE GP PLAIN BLACK ／E06-FIM［プレーンブラック］ヘルメット,【カラー】<br />プレーンブラック<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,100000,110000,2184,B23,65000
8990800028569,Y6KX00W6.5,25973256,3002,KYT ケイワイティ,KX-1 RACE GP PLAIN BLACK ／E06-FIM［プレーンブラック］ヘルメット,【カラー】<br />プレーンブラック<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,100000,110000,2184,B23,65000
8020838372355,Y6KX00W1.4,25973257,3002,KYT ケイワイティ,KX-1 RACE GP PLAIN GRL GREY ／E06-FIM［プレーン GRL グレーグロス］ヘルメット,【カラー】<br />プレーン GRL グレーグロス<br /><br />【材質】<br />ポリカーボネイト<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,100000,110000,2184,B23,65000
8020838372362,Y6KX00W1.5,25973258,3002,KYT ケイワイティ,KX-1 RACE GP PLAIN GRL GREY ／E06-FIM［プレーン GRL グレーグロス］ヘルメット,【カラー】<br />プレーン GRL グレーグロス<br /><br />【材質】<br />ポリカーボネイト<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,100000,110000,2184,B23,65000
8990800028491,Y6KX00W3.4,25973259,3002,KYT ケイワイティ,KX-1 RACE GP PLAIN WHITE ／E06-FIM［プレーンホワイト］ヘルメット,【カラー】<br />プレーンホワイト<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,100000,110000,2184,B23,65000
8990800028507,Y6KX00W3.5,25973260,3002,KYT ケイワイティ,KX-1 RACE GP PLAIN WHITE ／E06-FIM［プレーンホワイト］ヘルメット,【カラー】<br />プレーンホワイト<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06 FIM<br />・Commercial Name：KYT KX-1 RACE GP<br />・Description：Full face helmet<br />・Materials shell：tricomposite(carbon． fiberglass． aramidic)<br />・Polystyrene：polystyrene in four sizes(S． M． L． XL)<br />・Visor：anti-scratch with uv 380 ray filters<br />・Antifog System：pinlock max vision 120(別売りオプション)<br />・Retention System：dd ring<br />・Approx． Weight：1400 gr ±50 in size M<br />・Nr．shell：3<br />・Nr．polystyrene：4<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,100000,110000,2184,B23,65000
8020838357475,Y6NZ0021.4,25973261,3002,KYT ケイワイティ,NZ RACE BASTIANINI REPLICA ／E06［バスティアニーニ レプリカ］ヘルメット,【カラー】<br />バスティアニーニ レプリカ<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,68000,74800,2184,B23,44200
8020838357482,Y6NZ0021.5,25973262,3002,KYT ケイワイティ,NZ RACE BASTIANINI REPLICA ／E06［バスティアニーニ レプリカ］ヘルメット,【カラー】<br />バスティアニーニ レプリカ<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,68000,74800,2184,B23,44200
8020838354542,Y6NZ0017.4,25973263,3002,KYT ケイワイティ,NZ RACE CARBON COMPETITION WHITE ／E06［カーボンコンペティションホワイト］ヘルメット,【カラー】<br />カーボンコンペティションホワイト<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,70000,77000,2184,B23,45500
8020838354559,Y6NZ0017.5,25973264,3002,KYT ケイワイティ,NZ RACE CARBON COMPETITION WHITE ／E06［カーボンコンペティションホワイト］ヘルメット,【カラー】<br />カーボンコンペティションホワイト<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,70000,77000,2184,B23,45500
8051811408907,YSNZ0013.4,25973265,3002,KYT ケイワイティ,NZ RACE CARBON GLOSSY［カーボングロス］ヘルメット,【カラー】<br />カーボングロス<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 &plusmn; 50 (gr 1300 &plusmn; 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />(サイズ：S／M／L／XLのみ)<br /><br /><br />,70000,77000,2184,B23,45500
8051811408914,YSNZ0013.5,25973266,3002,KYT ケイワイティ,NZ RACE CARBON GLOSSY［カーボングロス］ヘルメット,【カラー】<br />カーボングロス<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 &plusmn; 50 (gr 1300 &plusmn; 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />(サイズ：S／M／L／XLのみ)<br /><br /><br />,70000,77000,2184,B23,45500
8020838365692,Y6NZ0025.4,25973267,3002,KYT ケイワイティ,NZ RACE CARBON STRIDE GREEN FLUO／WHITE ／E06［カーボンストライドグリーンフロー］ヘルメット,【カラー】<br />カーボンストライドグリーンフロー<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,70000,77000,2184,B23,45500
8020838365708,Y6NZ0025.5,25973268,3002,KYT ケイワイティ,NZ RACE CARBON STRIDE GREEN FLUO／WHITE ／E06［カーボンストライドグリーンフロー］ヘルメット,【カラー】<br />カーボンストライドグリーンフロー<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,70000,77000,2184,B23,45500
8020838354849,Y6NZ00X6.4,25973269,3002,KYT ケイワイティ,NZ RACE PLAIN MATT BLACK ／E06［プレーンマットブラック］ヘルメット,【カラー】<br />プレーンマットブラック<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,66000,72600,2184,B23,42900
8020838354856,Y6NZ00X6.5,25973270,3002,KYT ケイワイティ,NZ RACE PLAIN MATT BLACK ／E06［プレーンマットブラック］ヘルメット,【カラー】<br />プレーンマットブラック<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,66000,72600,2184,B23,42900
8020838354788,Y6NZ00W3.4,25973271,3002,KYT ケイワイティ,NZ RACE PLAIN WHITE ／E06［プレーンホワイト］ヘルメット,【カラー】<br />プレーンホワイト<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,66000,72600,2184,B23,42900
8020838354795,Y6NZ00W3.5,25973272,3002,KYT ケイワイティ,NZ RACE PLAIN WHITE ／E06［プレーンホワイト］ヘルメット,【カラー】<br />プレーンホワイト<br /><br />【材質】<br />ファイバー<br /><br />【仕様：SPEC】<br />Commercial name：KYT NZ-RACE<br />Description：FULL FACE PROTECTIVE HELMET<br />Material<br />Shell：TRI-FIBER COMPOSITE IN 2 SIZE (M and L)<br />EPS：INTERNAL POLYSTYRENE IN 3 DIFFERENT SIZE (S. M and L)<br />Visor：ANTI SCRATCH PROTECTIVE VISOR<br />Retention System：Double D-RING. NYLON CHINSTRAP<br />Spare Parts：NOSE GUARD. AIR CHIN CURTAIN<br />Weight (approx.)：gr 1350 ± 50 (gr 1300 ± 50 Carbon sight version) - Shell M<br />Nr. of shells：2<br />Nr. of POLYSTIRENE：3<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,66000,72600,2184,B23,42900
8020838346868,YSSK0012.4,25973273,3006,KYT ケイワイティ,SKYHAWK [スカイホーク] GLOWING ANTHR.／YELLOW［グローイング アンスラサイト／イエロー］ヘルメット,【カラー】グローイング アンスラサイト／イエロー<br />【材質】ファイバー<br />【規格】ECE 22-06・MFJ公認<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06<br />・Commercial Name：KYT SKYHAWK<br />・Description：Protective offroad helmet<br />・Materials shell：tricarboco fiber-carbon-aramidic<br />・Polystyrene：polystyrene in two different sized (M and L)<br />・Peak：removable and adjustable peak without any tool<br />・Retention System：d-ring strap nylon 24 mm<br />・Approx. Weight：1100 ± 50<br />・Nr. shell：2<br />・Nr. polystyrene：2<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,50000,55000,2184,B23,32500
8020838346875,YSSK0012.5,25973274,3006,KYT ケイワイティ,SKYHAWK [スカイホーク] GLOWING ANTHR.／YELLOW［グローイング アンスラサイト／イエロー］ヘルメット,【カラー】グローイング アンスラサイト／イエロー<br />【材質】ファイバー<br />【規格】ECE 22-06・MFJ公認<br /><br />【仕様：SPEC】<br />・Homologations：ECE 22-06<br />・Commercial Name：KYT SKYHAWK<br />・Description：Protective offroad helmet<br />・Materials shell：tricarboco fiber-carbon-aramidic<br />・Polystyrene：polystyrene in two different sized (M and L)<br />・Peak：removable and adjustable peak without any tool<br />・Retention System：d-ring strap nylon 24 mm<br />・Approx. Weight：1100 ± 50<br />・Nr. shell：2<br />・Nr. polystyrene：2<br /><br />【PSマークの種類】SG<br />【届け出事業者名】株式会社CORDA・MOTO<br />【登録検査機関名称】一般財団法人製品安全協会<br />,50000,55000,2184,B23,32500
